"file","lhs","op","rhs","beta","se","z","pval","level"
"subj1","happy","~","happylag",0.111328666869976,0.0568491540770556,1.95831703527332,0.0501928230879169,"group"
"subj1","excited","~","excitedlag",0.425705692254859,0.0593225871134934,7.1761147476663,7.17204073907851e-13,"group"
"subj1","relaxed","~","relaxedlag",0.0414847678798653,0.0577983781122084,0.71774968839658,0.47291163994996,"group"
"subj1","satisfied","~","satisfiedlag",0.686026858877217,0.0388073618545857,17.6777504600239,0,"group"
"subj1","angry","~","angrylag",0.215312186363015,0.0560159122967474,3.84376827110103,0.000121159417510119,"group"
"subj1","anxious","~","anxiouslag",0.403094460103773,0.0549936799508653,7.329832454637,2.30482299912182e-13,"group"
"subj1","depressed","~","depressedlag",0.127208721829153,0.047335847347091,2.68736547370523,0.00720181054852653,"group"
"subj1","sad","~","sadlag",0.336784508919652,0.0522003009509337,6.45177331901241,1.10548903364815e-10,"group"
"subj1","happy","~","satisfied",0.878646000697161,0.0367018793419247,23.9400819917546,0,"ind"
"subj1","relaxed","~","satisfied",0.756456357081438,0.0430485922369645,17.5721508596022,0,"ind"
"subj1","depressed","~","sad",0.431031623993705,0.0519197409227542,8.30188318225607,0,"ind"
"subj1","angry","~","depressed",0.354016226445577,0.0654723398413404,5.40711126719264,6.40493569292744e-08,"ind"
"subj1","sad","~","satisfied",-0.57442507961103,0.0466773889210005,-12.3062813257018,0,"ind"
"subj1","depressed","~","happy",-0.412042510146618,0.0511318618639615,-8.05842961953694,6.66133814775094e-16,"ind"
"subj1","anxious","~","depressed",0.372846675471323,0.0557659323726777,6.6859220245728,2.29474217405823e-11,"ind"
"subj1","excited","~","happy",0.281746352774316,0.0593737996609877,4.74529766299328,2.08199939799592e-06,"ind"
"subj1","angry","~","sad",0.337379380815429,0.0709559249559452,4.75477391105675,1.9866861935558e-06,"ind"
"subj1","happy","~","sadlag",0.218357179095338,0.0522178065705251,4.18166126530854,2.8938688566349e-05,"ind"
"subj10","happy","~","happylag",0.158543747790011,0.0575311721406059,2.75578859061885,0.00585508274028745,"group"
"subj10","excited","~","excitedlag",0.0719347171709352,0.0653068638732876,1.10148785142259,0.270684388985084,"group"
"subj10","relaxed","~","relaxedlag",0.114751953740993,0.0708134722887377,1.62048195113351,0.105128788358377,"group"
"subj10","satisfied","~","satisfiedlag",0.0993337275717027,0.057748223971862,1.72011744673054,0.0854110949818074,"group"
"subj10","angry","~","angrylag",0.0884955942898891,0.0599321070848525,1.47659741321286,0.139783585548012,"group"
"subj10","anxious","~","anxiouslag",0.18570083494125,0.0599005551128329,3.10015215370626,0.00193421254360038,"group"
"subj10","depressed","~","depressedlag",0.322550758681743,0.0615041112475102,5.24437719917139,1.56811104323751e-07,"group"
"subj10","sad","~","sadlag",0.47226957204966,0.0499052486017731,9.46332470594847,0,"group"
"subj10","satisfied","~","relaxed",0.577925279844905,0.0429542934947266,13.4544240592819,0,"ind"
"subj10","happy","~","satisfied",0.3421095395675,0.0615369589737857,5.55941576042515,2.70679203495661e-08,"ind"
"subj10","excited","~","satisfied",0.515909591751697,0.0510071033123808,10.114465598882,0,"ind"
"subj10","anxious","~","sad",0.487524135396435,0.0531882599272097,9.16601024481025,0,"ind"
"subj10","angry","~","sad",0.392202543184196,0.0572883243273291,6.84611651308324,7.58815232870802e-12,"ind"
"subj10","sad","~","depressed",0.323469567862294,0.0526224551835776,6.14698737894012,7.89684095892085e-10,"ind"
"subj10","happy","~","excited",0.321442083987133,0.0604371567375003,5.31861691282515,1.04559024105555e-07,"ind"
"subj10","angry","~","excited",-0.257983786165879,0.0511969870539086,-5.03904235407899,4.67866949405149e-07,"ind"
"subj10","satisfied","~","sadlag",-0.255673149983511,0.0542535775086334,-4.71255835512092,2.44625995460268e-06,"ind"
"subj10","angry","~","depressed",0.222927578694679,0.0557899942401237,3.99583440957502,6.44667849880598e-05,"ind"
"subj10","depressed","~","happy",-0.232551575606935,0.0608497558779892,-3.82173391251114,0.000132516634177904,"ind"
"subj2","happy","~","happylag",0.785617077851628,0.0318631667830638,24.6559635205251,0,"group"
"subj2","excited","~","excitedlag",0.462520941252087,0.066523490426916,6.95274613950423,3.58246765586046e-12,"group"
"subj2","relaxed","~","relaxedlag",0.550497422498246,0.0543268760253784,10.1330586769076,0,"group"
"subj2","satisfied","~","satisfiedlag",0.211195807449029,0.0719750531558031,2.93429178845977,0.00334309765697216,"group"
"subj2","angry","~","angrylag",0.134648737448666,0.0860030737643836,1.56562703581448,0.117435956851238,"group"
"subj2","anxious","~","anxiouslag",-0.0507400717415021,0.0810904417077977,-0.625721979963305,0.53149731374414,"group"
"subj2","depressed","~","depressedlag",-0.0315779641777173,0.0825303499292089,-0.382622443801627,0.70199972662982,"group"
"subj2","sad","~","sadlag",0.64514890448759,0.0451986004121119,14.2736478254913,0,"group"
"subj2","satisfied","~","happy",0.30553824400519,0.0842789441246564,3.62532121372179,0.000288602504323832,"ind"
"subj2","excited","~","happy",0.443377612045149,0.0627446385945343,7.06638243484555,1.59028346047307e-12,"ind"
"subj2","sad","~","satisfied",-0.283828569471747,0.0553965017799314,-5.12358290419289,2.99783743162862e-07,"ind"
"subj2","satisfied","~","excited",0.300284896860331,0.0812795156557439,3.69447202579523,0.000220344148949003,"ind"
"subj2","happy","~","relaxed",0.166800161716983,0.0476020543259722,3.50405384975108,0.000458232686549209,"ind"
"subj3","happy","~","happylag",-0.000545601183266744,0.0715639288481044,-0.00762396911473084,0.993917011680229,"group"
"subj3","excited","~","excitedlag",0.327648148373971,0.0646884829206328,5.06501518633489,4.08367794690889e-07,"group"
"subj3","relaxed","~","relaxedlag",0.469030172737026,0.0599186624867774,7.8277810830729,4.88498130835069e-15,"group"
"subj3","satisfied","~","satisfiedlag",0.319377773401286,0.0676196881233722,4.7231476847184,2.32222085694289e-06,"group"
"subj3","angry","~","angrylag",0.307492009756914,0.0715864343145149,4.2953949683532,1.74382584940957e-05,"group"
"subj3","anxious","~","anxiouslag",0.0228397889876468,0.0722180100961268,0.316261677069827,0.751803896668845,"group"
"subj3","depressed","~","depressedlag",0.183461201924123,0.0690680762399665,2.65623732282212,0.00790179838688676,"group"
"subj3","sad","~","sadlag",-0.00518634530138032,0.0822474391818845,-0.0630578332039138,0.949720451668473,"group"
"subj3","sad","~","angry",0.614464646959408,0.0474478827259214,12.9503069822696,0,"ind"
