"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9992,0.3151,0.7254,0.8258,-0.497,-0.3081,-0.6871,-0.5988,0,0,0,0,0,0,0,0
"excitedlag",0.3151,1.0308,0.3122,0.3471,-0.1218,-0.0624,-0.1012,-0.2083,0,0,0,0,0,0,0,0
"relaxedlag",0.7254,0.3122,1.0074,0.7841,-0.477,-0.2816,-0.5525,-0.5565,0,0,0,0,0,0,0,0
"satisfiedlag",0.8258,0.3471,0.7841,0.9953,-0.5536,-0.3365,-0.6777,-0.7286,0,0,0,0,0,0,0,0
"angrylag",-0.497,-0.1218,-0.477,-0.5536,0.8726,0.4814,0.5772,0.6379,0,0,0,0,0,0,0,0
"anxiouslag",-0.3081,-0.0624,-0.2816,-0.3365,0.4814,0.9776,0.4473,0.4112,0,0,0,0,0,0,0,0
"depressedlag",-0.6871,-0.1012,-0.5525,-0.6777,0.5772,0.4473,0.9073,0.6733,0,0,0,0,0,0,0,0
"sadlag",-0.5988,-0.2083,-0.5565,-0.7286,0.6379,0.4112,0.6733,0.9546,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.2859,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.4676,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5275,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.399,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5995,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3187,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3506
