"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.5194,0.4667,0.5873,-0.3523,-0.0485,-0.4218,-0.3244,0,0,0,0,0,0,0,0
"excitedlag",0.5194,1,0.434,0.5298,-0.1526,-0.1714,-0.2661,-0.2153,0,0,0,0,0,0,0,0
"relaxedlag",0.4667,0.434,1,0.6241,-0.2338,-0.0695,-0.2537,-0.2594,0,0,0,0,0,0,0,0
"satisfiedlag",0.5873,0.5298,0.6241,1,-0.2532,-0.1846,-0.2279,-0.3076,0,0,0,0,0,0,0,0
"angrylag",-0.3523,-0.1526,-0.2338,-0.2532,1,0.1317,0.5881,0.5958,0,0,0,0,0,0,0,0
"anxiouslag",-0.0485,-0.1714,-0.0695,-0.1846,0.1317,1,0.1569,0.0434,0,0,0,0,0,0,0,0
"depressedlag",-0.4218,-0.2661,-0.2537,-0.2279,0.5881,0.1569,1,0.4786,0,0,0,0,0,0,0,0
"sadlag",-0.3244,-0.2153,-0.2594,-0.3076,0.5958,0.0434,0.4786,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6033,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.7932,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5775,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,4.0534,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9947,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9226,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6416
