"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"subj1",149.0163,74,78,0,0.0667,0.0475,0.9504,0.9694,7070.7339,6803.2449,-3323.6225,"converged normally"
"subj2",120.855,79,73,0.0017,0.0489,0.0586,0.9442,0.9633,7269.7833,7021.3879,-3437.6939,"converged normally"
"subj3",97.2286,76,76,0.0509,0.0357,0.0641,0.9468,0.9663,8130.9767,7873.4073,-3860.7036,"converged normally"
"subj4",113.197,75,77,0.0029,0.0467,0.0493,0.9588,0.9743,8732.2671,8466.2074,-4156.1037,"converged normally"
"subj5",108.3129,74,78,0.0057,0.0453,0.0623,0.9333,0.9589,7875.1103,7608.3086,-3726.1543,"converged normally"
"subj6",115.0002,75,77,0.002,0.0495,0.0628,0.955,0.9719,7286.4702,7025.8641,-3435.9321,"converged normally"
"subj7",105.6758,76,76,0.0138,0.0441,0.0674,0.9483,0.9673,6573.6678,6322.6166,-3085.3083,"converged normally"
"subj8",111.7673,76,76,0.0048,0.0489,0.0682,0.9356,0.9592,6860.6164,6611.0929,-3229.5465,"converged normally"
"subj9",122.1288,75,77,5e-04,0.0518,0.0533,0.957,0.9731,8624.5054,8358.4457,-4102.2228,"converged normally"
"subj10",107.4853,73,79,0.0054,0.0447,0.0526,0.952,0.9708,9086.0427,8812.4,-4327.2,"converged normally"
