"file","lhs","op","rhs","beta","se","z","pval"
"all","happylag","~","happy",0,0,NA,NA
"all","happylag","~","excited",0,0,NA,NA
"all","happylag","~","relaxed",0,0,NA,NA
"all","happylag","~","satisfied",0,0,NA,NA
"all","happylag","~","angry",0,0,NA,NA
"all","happylag","~","anxious",0,0,NA,NA
"all","happylag","~","depressed",0,0,NA,NA
"all","happylag","~","sad",0,0,NA,NA
"all","excitedlag","~","happy",0,0,NA,NA
"all","excitedlag","~","excited",0,0,NA,NA
"all","excitedlag","~","relaxed",0,0,NA,NA
"all","excitedlag","~","satisfied",0,0,NA,NA
"all","excitedlag","~","angry",0,0,NA,NA
"all","excitedlag","~","anxious",0,0,NA,NA
"all","excitedlag","~","depressed",0,0,NA,NA
"all","excitedlag","~","sad",0,0,NA,NA
"all","relaxedlag","~","happy",0,0,NA,NA
"all","relaxedlag","~","excited",0,0,NA,NA
"all","relaxedlag","~","relaxed",0,0,NA,NA
"all","relaxedlag","~","satisfied",0,0,NA,NA
"all","relaxedlag","~","angry",0,0,NA,NA
"all","relaxedlag","~","anxious",0,0,NA,NA
"all","relaxedlag","~","depressed",0,0,NA,NA
"all","relaxedlag","~","sad",0,0,NA,NA
"all","satisfiedlag","~","happy",0,0,NA,NA
"all","satisfiedlag","~","excited",0,0,NA,NA
"all","satisfiedlag","~","relaxed",0,0,NA,NA
"all","satisfiedlag","~","satisfied",0,0,NA,NA
"all","satisfiedlag","~","angry",0,0,NA,NA
"all","satisfiedlag","~","anxious",0,0,NA,NA
"all","satisfiedlag","~","depressed",0,0,NA,NA
"all","satisfiedlag","~","sad",0,0,NA,NA
"all","angrylag","~","happy",0,0,NA,NA
"all","angrylag","~","excited",0,0,NA,NA
"all","angrylag","~","relaxed",0,0,NA,NA
"all","angrylag","~","satisfied",0,0,NA,NA
"all","angrylag","~","angry",0,0,NA,NA
"all","angrylag","~","anxious",0,0,NA,NA
"all","angrylag","~","depressed",0,0,NA,NA
"all","angrylag","~","sad",0,0,NA,NA
"all","anxiouslag","~","happy",0,0,NA,NA
"all","anxiouslag","~","excited",0,0,NA,NA
"all","anxiouslag","~","relaxed",0,0,NA,NA
"all","anxiouslag","~","satisfied",0,0,NA,NA
"all","anxiouslag","~","angry",0,0,NA,NA
"all","anxiouslag","~","anxious",0,0,NA,NA
"all","anxiouslag","~","depressed",0,0,NA,NA
"all","anxiouslag","~","sad",0,0,NA,NA
"all","depressedlag","~","happy",0,0,NA,NA
"all","depressedlag","~","excited",0,0,NA,NA
"all","depressedlag","~","relaxed",0,0,NA,NA
"all","depressedlag","~","satisfied",0,0,NA,NA
"all","depressedlag","~","angry",0,0,NA,NA
"all","depressedlag","~","anxious",0,0,NA,NA
"all","depressedlag","~","depressed",0,0,NA,NA
"all","depressedlag","~","sad",0,0,NA,NA
"all","sadlag","~","happy",0,0,NA,NA
"all","sadlag","~","excited",0,0,NA,NA
"all","sadlag","~","relaxed",0,0,NA,NA
"all","sadlag","~","satisfied",0,0,NA,NA
"all","sadlag","~","angry",0,0,NA,NA
"all","sadlag","~","anxious",0,0,NA,NA
"all","sadlag","~","depressed",0,0,NA,NA
"all","sadlag","~","sad",0,0,NA,NA
"all","happy","~","happylag",0.181144333562945,0.0196859371460697,9.20171248230923,0
"all","excited","~","excitedlag",0.256421983003387,0.0208824481465533,12.2793065833955,0
"all","relaxed","~","relaxedlag",0.3650817673919,0.0213275894812928,17.1178166999195,0
"all","satisfied","~","satisfiedlag",0.261235299687794,0.0201815818458191,12.9442430074882,0
"all","angry","~","angrylag",0.225867620010441,0.0224264243801147,10.0714949553311,0
"all","anxious","~","anxiouslag",0.147437214453265,0.0231859635408336,6.35889960723901,2.03204120197142e-10
"all","depressed","~","depressedlag",0.239267453526875,0.0213542885694838,11.2046558117978,0
"all","sad","~","sadlag",0.23125147568955,0.0206114372206313,11.2195706303331,0
"all","happy","~","satisfied",0.419535713226082,0.0201956376987686,20.7735808833441,0
"all","satisfied","~","relaxed",0.494567921158474,0.0172652193996704,28.64533080697,0
"all","excited","~","happy",0.471348969533087,0.0173822612247021,27.1166658606676,0
"all","sad","~","angry",0.351330076553292,0.0193806039109731,18.1279220279803,0
"all","depressed","~","happy",-0.375611934308236,0.0189330742195214,-19.8389300096311,0
"all","angry","~","depressed",0.317779788021965,0.0204369343078823,15.5492885202162,0
"all","anxious","~","angry",0.268196986334194,0.0213163150153203,12.5817706363148,0
"all","happy","~","relaxed",0.253204223284731,0.0204653236166921,12.3723537446635,0
"all","sad","~","happy",-0.23807878284018,0.0199509775122553,-11.9331888722713,0
