"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.5316,0.5313,0.6194,-0.2962,-0.1311,-0.4173,-0.3802,0,0,0,0,0,0,0,0
"excitedlag",0.5316,1,0.3954,0.5008,-0.1457,-0.0449,-0.2411,-0.2023,0,0,0,0,0,0,0,0
"relaxedlag",0.5313,0.3954,1,0.5681,-0.2406,-0.0876,-0.3547,-0.2608,0,0,0,0,0,0,0,0
"satisfiedlag",0.6194,0.5008,0.5681,1,-0.278,-0.1239,-0.3618,-0.3436,0,0,0,0,0,0,0,0
"angrylag",-0.2962,-0.1457,-0.2406,-0.278,1,0.2948,0.3554,0.4545,0,0,0,0,0,0,0,0
"anxiouslag",-0.1311,-0.0449,-0.0876,-0.1239,0.2948,1,0.2131,0.2302,0,0,0,0,0,0,0,0
"depressedlag",-0.4173,-0.2411,-0.3547,-0.3618,0.3554,0.2131,1,0.3882,0,0,0,0,0,0,0,0
"sadlag",-0.3802,-0.2023,-0.2608,-0.3436,0.4545,0.2302,0.3882,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.5535,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6595,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.8667,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.6336,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.8291,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8993,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7702,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6986
