"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.999,0.5322,0.5303,0.6184,-0.2936,-0.1307,-0.4144,-0.3784,0,0,0,0,0,0,0,0
"excitedlag",0.5322,1.0032,0.3955,0.5011,-0.1447,-0.0448,-0.2399,-0.2018,0,0,0,0,0,0,0,0
"relaxedlag",0.5303,0.3955,0.9972,0.5666,-0.2383,-0.0873,-0.3519,-0.2593,0,0,0,0,0,0,0,0
"satisfiedlag",0.6184,0.5011,0.5666,0.9977,-0.2754,-0.1234,-0.359,-0.3418,0,0,0,0,0,0,0,0
"angrylag",-0.2936,-0.1447,-0.2383,-0.2754,0.9838,0.2917,0.3502,0.4489,0,0,0,0,0,0,0,0
"anxiouslag",-0.1307,-0.0448,-0.0873,-0.1234,0.2917,0.995,0.2112,0.2286,0,0,0,0,0,0,0,0
"depressedlag",-0.4144,-0.2399,-0.3519,-0.359,0.3502,0.2112,0.987,0.3841,0,0,0,0,0,0,0,0
"sadlag",-0.3784,-0.2018,-0.2593,-0.3418,0.4489,0.2286,0.3841,0.9916,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.5343,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.6211,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.8595,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.6136,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.8106,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8865,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7573,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672
