"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9869,0.6156,0.5179,0.7022,-0.3965,-0.3569,-0.6547,-0.4874,0,0,0,0,0,0,0,0
"excitedlag",0.6156,0.9956,0.6371,0.6384,-0.4537,-0.2552,-0.7162,-0.4183,0,0,0,0,0,0,0,0
"relaxedlag",0.5179,0.6371,0.9873,0.6323,-0.2745,-0.3524,-0.6181,-0.3162,0,0,0,0,0,0,0,0
"satisfiedlag",0.7022,0.6384,0.6323,0.9939,-0.446,-0.4319,-0.6379,-0.4819,0,0,0,0,0,0,0,0
"angrylag",-0.3965,-0.4537,-0.2745,-0.446,0.9965,0.2936,0.3944,0.3379,0,0,0,0,0,0,0,0
"anxiouslag",-0.3569,-0.2552,-0.3524,-0.4319,0.2936,0.9958,0.3517,0.2131,0,0,0,0,0,0,0,0
"depressedlag",-0.6547,-0.7162,-0.6181,-0.6379,0.3944,0.3517,0.9946,0.3876,0,0,0,0,0,0,0,0
"sadlag",-0.4874,-0.4183,-0.3162,-0.4819,0.3379,0.2131,0.3876,0.9938,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.855,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.5789,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4992,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4217,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7618,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7557,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4009,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7093
