"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.4618,0.4655,0.6251,-0.4184,-0.1469,-0.6475,-0.4405,0,0,0,0,0,0,0,0
"excitedlag",0.4618,1,0.3466,0.4266,-0.2049,0.0891,-0.4833,-0.2807,0,0,0,0,0,0,0,0
"relaxedlag",0.4655,0.3466,1,0.487,-0.2509,-0.1729,-0.5993,-0.3188,0,0,0,0,0,0,0,0
"satisfiedlag",0.6251,0.4266,0.487,1,-0.5185,-0.0827,-0.5051,-0.3666,0,0,0,0,0,0,0,0
"angrylag",-0.4184,-0.2049,-0.2509,-0.5185,1,0.1795,0.2688,0.2815,0,0,0,0,0,0,0,0
"anxiouslag",-0.1469,0.0891,-0.1729,-0.0827,0.1795,1,0.1335,-0.042,0,0,0,0,0,0,0,0
"depressedlag",-0.6475,-0.4833,-0.5993,-0.5051,0.2688,0.1335,1,0.4583,0,0,0,0,0,0,0,0
"sadlag",-0.4405,-0.2807,-0.3188,-0.3666,0.2815,-0.042,0.4583,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7789,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.741,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5555,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6651,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9209,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3567,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6945
