"lhs","op","rhs","count.group","count.ind"
"angry","~","angrylag",10,0
"anxious","~","anxiouslag",10,0
"sad","~","depressed",10,0
"depressed","~","depressedlag",10,0
"satisfied","~","excited",10,0
"excited","~","excitedlag",10,0
"depressed","~","happy",10,0
"excited","~","happy",10,0
"satisfied","~","happy",10,0
"happy","~","happylag",10,0
"happy","~","relaxed",10,0
"relaxed","~","relaxedlag",10,0
"angry","~","sad",10,0
"sad","~","sadlag",10,0
"relaxed","~","satisfied",10,0
"satisfied","~","satisfiedlag",10,0
"anxious","~","angry",0,3
"angry","~","depressed",0,2
"angry","~","excited",0,2
"depressed","~","relaxed",0,2
"satisfied","~","sad",0,2
"anxious","~","satisfied",0,2
"sad","~","angry",0,1
"depressed","~","angrylag",0,1
"sad","~","anxious",0,1
"satisfied","~","anxious",0,1
"depressed","~","excited",0,1
"relaxed","~","excited",0,1
"happy","~","excitedlag",0,1
"sad","~","happy",0,1
"angry","~","relaxed",0,1
"depressed","~","relaxedlag",0,1
"anxious","~","sad",0,1
"happy","~","sad",0,1
"excited","~","sadlag",0,1
"relaxed","~","sadlag",0,1
"angry","~","satisfied",0,1
"depressed","~","satisfied",0,1
