"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.7723,0.4979,0.678,0.023,-0.0342,0.1959,-0.4294,0,0,0,0,0,0,0,0
"excitedlag",0.7723,1,0.4315,0.6718,0.0095,-0.1202,0.1426,-0.2076,0,0,0,0,0,0,0,0
"relaxedlag",0.4979,0.4315,1,0.4814,-0.107,-0.0308,0.0884,-0.2525,0,0,0,0,0,0,0,0
"satisfiedlag",0.678,0.6718,0.4814,1,-0.0889,-0.1859,0.0609,-0.5184,0,0,0,0,0,0,0,0
"angrylag",0.023,0.0095,-0.107,-0.0889,1,0.0202,0.0064,0.0777,0,0,0,0,0,0,0,0
"anxiouslag",-0.0342,-0.1202,-0.0308,-0.1859,0.0202,1,0.0952,-0.0303,0,0,0,0,0,0,0,0
"depressedlag",0.1959,0.1426,0.0884,0.0609,0.0064,0.0952,1,-0.0345,0,0,0,0,0,0,0,0
"sadlag",-0.4294,-0.2076,-0.2525,-0.5184,0.0777,-0.0303,-0.0345,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.2756,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.3227,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.6764,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4094,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.9769,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.997,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9582,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4366
