"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.9958,0.3158,0.4742,0.589,-0.0885,0.0621,-0.399,-0.205,0,0,0,0,0,0,0,0
"excitedlag",0.3158,0.998,0.2133,0.3052,0.1679,0.1256,-0.1449,0.0323,0,0,0,0,0,0,0,0
"relaxedlag",0.4742,0.2133,0.9939,0.5534,-0.063,0.0895,-0.3709,-0.1252,0,0,0,0,0,0,0,0
"satisfiedlag",0.589,0.3052,0.5534,0.9949,0.1255,0.2601,-0.3803,-0.035,0,0,0,0,0,0,0,0
"angrylag",-0.0885,0.1679,-0.063,0.1255,1.0124,0.5715,0.2132,0.5082,0,0,0,0,0,0,0,0
"anxiouslag",0.0621,0.1256,0.0895,0.2601,0.5715,0.9947,0.0735,0.4059,0,0,0,0,0,0,0,0
"depressedlag",-0.399,-0.1449,-0.3709,-0.3803,0.2132,0.0735,0.991,0.2543,0,0,0,0,0,0,0,0
"sadlag",-0.205,0.0323,-0.1252,-0.035,0.5082,0.4059,0.2543,1.0042,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.7454,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7307,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.6842,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5539,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6971,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6643,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8124,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9124
