"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status","sub_membership","modularity"
"subj1",163.9014,74,78,0,0.073,0.0488,0.9406,0.9633,7085.619,6818.13,-3331.065,"converged normally",1,"0"
"subj10",109.1126,72,80,0.0031,0.0467,0.0643,0.9476,0.9686,9093.1339,8816.0273,-4328.0137,"converged normally",10,""
"subj2",95.4712,75,77,0.0556,0.0351,0.0482,0.9713,0.982,7266.0102,7004.0041,-3425.002,"converged normally",2,""
"subj3",98.9359,73,79,0.0234,0.0403,0.0613,0.9323,0.9588,8148.8513,7881.1146,-3861.5573,"converged normally",3,""
"subj4",111.6256,73,79,0.0024,0.0476,0.0475,0.9572,0.974,8741.6064,8468.636,-4155.318,"converged normally",4,""
"subj5",112.552,73,79,0.002,0.049,0.0684,0.9221,0.9526,7884.7699,7614.5476,-3728.2738,"converged normally",5,""
"subj6",99.2664,71,81,0.015,0.0427,0.0503,0.9664,0.9801,7292.2744,7018.1303,-3428.0651,"converged normally",6,""
"subj7",103.1312,73,79,0.0116,0.0453,0.0663,0.9454,0.9668,6587.033,6326.0719,-3084.036,"converged normally",7,""
"subj8",104.8027,74,78,0.0107,0.046,0.0701,0.9431,0.9649,6864.2182,6608.1283,-3226.0642,"converged normally",8,""
"subj9",120.1944,73,79,4e-04,0.0526,0.0566,0.9557,0.9731,8633.4817,8360.5113,-4101.2557,"converged normally",9,""
