"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.985,0.6126,0.5141,0.6992,-0.3949,-0.3549,-0.6519,-0.4846,0,0,0,0,0,0,0,0
"excitedlag",0.6126,0.9918,0.6328,0.6343,-0.4515,-0.2528,-0.7127,-0.4139,0,0,0,0,0,0,0,0
"relaxedlag",0.5141,0.6328,0.9825,0.6277,-0.272,-0.3498,-0.6141,-0.3116,0,0,0,0,0,0,0,0
"satisfiedlag",0.6992,0.6343,0.6277,0.9897,-0.4436,-0.4293,-0.6342,-0.4775,0,0,0,0,0,0,0,0
"angrylag",-0.3949,-0.4515,-0.272,-0.4436,0.9952,0.2921,0.3923,0.3353,0,0,0,0,0,0,0,0
"anxiouslag",-0.3549,-0.2528,-0.3498,-0.4293,0.2921,0.9944,0.3495,0.2101,0,0,0,0,0,0,0,0
"depressedlag",-0.6519,-0.7127,-0.6141,-0.6342,0.3923,0.3495,0.9914,0.3837,0,0,0,0,0,0,0,0
"sadlag",-0.4846,-0.4139,-0.3116,-0.4775,0.3353,0.2101,0.3837,0.9898,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8894,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.5802,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.4992,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.4225,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.7761,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7455,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7174
