"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",1,0.4621,0.4684,0.6257,-0.4196,-0.146,-0.648,-0.4412,0,0,0,0,0,0,0,0
"excitedlag",0.4621,1,0.346,0.4271,-0.2061,0.09,-0.4839,-0.2818,0,0,0,0,0,0,0,0
"relaxedlag",0.4684,0.346,1,0.4911,-0.2539,-0.171,-0.6011,-0.3261,0,0,0,0,0,0,0,0
"satisfiedlag",0.6257,0.4271,0.4911,1,-0.5189,-0.0817,-0.5068,-0.3671,0,0,0,0,0,0,0,0
"angrylag",-0.4196,-0.2061,-0.2539,-0.5189,1,0.178,0.2711,0.2842,0,0,0,0,0,0,0,0
"anxiouslag",-0.146,0.09,-0.171,-0.0817,0.178,1,0.1328,-0.042,0,0,0,0,0,0,0,0
"depressedlag",-0.648,-0.4839,-0.6011,-0.5068,0.2711,0.1328,1,0.4604,0,0,0,0,0,0,0,0
"sadlag",-0.4412,-0.2818,-0.3261,-0.3671,0.2842,-0.042,0.4604,1,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.8718,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7362,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.5984,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.547,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6525,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9048,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4334,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6729
