"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status","sub_membership","modularity"
"subj1",141.3866,72,80,0,0.065,0.0479,0.9528,0.9717,7073.9629,6799.6153,-3319.8076,"converged normally",1,"-0.0686"
"subj10",92.3284,70,82,0.0382,0.0368,0.0486,0.9676,0.9811,9087.2773,8803.2431,-4319.6216,"converged normally",2,""
"subj2",101.2126,72,80,0.0132,0.0428,0.0493,0.9573,0.9744,7287.9597,7015.7455,-3427.8727,"converged normally",1,""
"subj3",104.2388,73,79,0.0096,0.0442,0.0596,0.9184,0.9504,8154.1541,7886.4175,-3864.2087,"converged normally",1,""
"subj4",118.6437,72,80,4e-04,0.0526,0.0486,0.9476,0.9686,8754.0798,8477.6541,-4158.8271,"converged normally",1,""
"subj5",106.9159,73,79,0.0059,0.0453,0.0665,0.9332,0.9593,7879.1338,7608.9116,-3725.4558,"converged normally",1,""
"subj6",100.7998,70,82,0.0094,0.0449,0.046,0.9629,0.9784,7299.1923,7021.6637,-3428.8319,"converged normally",2,""
"subj7",102.2854,72,80,0.011,0.0457,0.0547,0.9444,0.9666,6591.4906,6327.2262,-3083.6131,"converged normally",2,""
"subj8",98.5701,72,80,0.0205,0.0433,0.0606,0.9495,0.9697,6868.552,6605.8957,-3222.9478,"converged normally",2,""
"subj9",118.5096,72,80,5e-04,0.0525,0.0538,0.9558,0.9735,8637.2522,8360.8265,-4100.4132,"converged normally",2,""
