"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"subj1",12.1082,2,12,0.0023,0.1578,0.0218,0.9385,0.9795,1856.3871,1816.6286,-896.3143,"converged normally"
"subj2",2.4928,2,12,0.2875,0.0373,0.0172,0.9931,0.9977,1848.7748,1810.661,-893.3305,"converged normally"
"subj3",0.7786,2,12,0.6775,0,0.0166,1.1294,1,2123.5973,2084.9531,-1030.4765,"converged normally"
"subj4",6.6454,2,12,0.0361,0.1037,0.0301,0.9377,0.9792,2286.2273,2245.7239,-1110.862,"converged normally"
"subj5",4.2498,1,13,0.0393,0.1333,0.0334,0.7402,0.9567,2066.5364,2024.8131,-999.4066,"converged normally"
"subj6",1.2348,2,12,0.5393,0,0.0128,1.0055,1,1716.7697,1678.2559,-827.1279,"converged normally"
"subj7",2.5607,2,12,0.2779,0.0424,0.0225,0.9905,0.9968,1648.8666,1612.2684,-794.1342,"converged normally"
"subj8",5.4169,2,12,0.0666,0.1027,0.0422,0.8856,0.9619,1808.7255,1771.6743,-873.8372,"converged normally"
"subj9",6.5047,2,12,0.0387,0.1012,0.0357,0.9422,0.9807,2317.7213,2276.9978,-1126.4989,"converged normally"
"subj10",0.1841,2,12,0.9121,0,0.0071,1.0371,1,2369.5778,2328.9638,-1152.4819,"converged normally"
